sell_n,tokens_sold,seller_receives_sol,nav_sol,redeem_price_sol,price_frozen_sol,pool_sol
149,58019.79002,0.940000001,1.723790294e-05,1.620362876e-05,1.811530683e-05,358.45
150,58011.69687,0.940000001,1.724031417e-05,1.620589532e-05,1.811530683e-05,357.5
151,58003.58335,0.940000001,1.724273217e-05,1.620816824e-05,1.811530683e-05,356.55
152,57995.44934,0.940000001,1.724515697e-05,1.621044755e-05,1.811530683e-05,355.6
153,57987.29475,0.940000001,1.72475886e-05,1.621273329e-05,1.811530683e-05,354.65
154,57979.11947,0.940000001,1.725002711e-05,1.621502549e-05,1.811530683e-05,353.7
155,57970.92338,0.940000001,1.725247254e-05,1.621732418e-05,1.811530683e-05,352.75
156,57962.70638,0.940000001,1.725492491e-05,1.621962942e-05,1.811530683e-05,351.8
157,57954.46836,0.940000001,1.725738428e-05,1.622194123e-05,1.811530683e-05,350.85
158,57946.20921,0.940000001,1.725985068e-05,1.622425964e-05,1.811530683e-05,349.9
159,57937.92881,0.940000001,1.726232415e-05,1.62265847e-05,1.811530683e-05,348.95
160,57929.62706,0.940000001,1.726480472e-05,1.622891644e-05,1.811530683e-05,348
161,57921.30384,0.940000001,1.726729245e-05,1.62312549e-05,1.811530683e-05,347.05
162,57912.95903,0.940000001,1.726978736e-05,1.623360012e-05,1.811530683e-05,346.1
163,57904.59253,0.940000001,1.72722895e-05,1.623595213e-05,1.811530683e-05,345.15
164,57896.2042,0.940000001,1.727479891e-05,1.623831098e-05,1.811530683e-05,344.2
165,57887.79395,0.940000001,1.727731564e-05,1.62406767e-05,1.811530683e-05,343.25
166,57879.36164,0.940000001,1.727983972e-05,1.624304933e-05,1.811530683e-05,342.3
167,57870.90716,0.940000001,1.728237119e-05,1.624542892e-05,1.811530683e-05,341.35
168,57862.43039,0.940000001,1.72849101e-05,1.62478155e-05,1.811530683e-05,340.4
169,57853.93121,0.940000001,1.728745649e-05,1.62502091e-05,1.811530683e-05,339.45
170,57845.40949,0.940000001,1.729001041e-05,1.625260979e-05,1.811530683e-05,338.5
171,57836.86512,0.940000001,1.729257189e-05,1.625501758e-05,1.811530683e-05,337.55
172,57828.29796,0.940000001,1.729514099e-05,1.625743253e-05,1.811530683e-05,336.6
173,57819.7079,0.940000001,1.729771774e-05,1.625985467e-05,1.811530683e-05,335.65
174,57811.09481,0.940000001,1.730030219e-05,1.626228405e-05,1.811530683e-05,334.7
175,57802.45855,0.940000001,1.730289438e-05,1.626472072e-05,1.811530683e-05,333.75
176,57793.79901,0.940000001,1.730549436e-05,1.62671647e-05,1.811530683e-05,332.8
177,57785.11604,0.940000001,1.730810218e-05,1.626961605e-05,1.811530683e-05,331.85
178,57776.40953,0.940000001,1.731071789e-05,1.627207481e-05,1.811530683e-05,330.9
179,57767.67934,0.940000001,1.731334152e-05,1.627454103e-05,1.811530683e-05,329.95
180,57758.92533,0.940000001,1.731597312e-05,1.627701474e-05,1.811530683e-05,329
181,57750.14738,0.940000001,1.731861275e-05,1.627949599e-05,1.811530683e-05,328.05
182,57741.34535,0.940000001,1.732126046e-05,1.628198483e-05,1.811530683e-05,327.1
183,57732.5191,0.940000001,1.732391628e-05,1.62844813e-05,1.811530683e-05,326.15
184,57723.66849,0.940000001,1.732658026e-05,1.628698545e-05,1.811530683e-05,325.2
185,57714.79338,0.940000001,1.732925247e-05,1.628949732e-05,1.811530683e-05,324.25
186,57705.89365,0.940000001,1.733193294e-05,1.629201697e-05,1.811530683e-05,323.3
187,57696.96914,0.940000001,1.733462173e-05,1.629454443e-05,1.811530683e-05,322.35
188,57688.01971,0.940000001,1.733731889e-05,1.629707975e-05,1.811530683e-05,321.4
189,57679.04522,0.940000001,1.734002446e-05,1.629962299e-05,1.811530683e-05,320.45
190,57670.04552,0.940000001,1.73427385e-05,1.630217419e-05,1.811530683e-05,319.5
191,57661.02048,0.940000001,1.734546107e-05,1.630473341e-05,1.811530683e-05,318.55
192,57651.96993,0.940000001,1.734819221e-05,1.630730068e-05,1.811530683e-05,317.6
193,57642.89374,0.940000001,1.735093197e-05,1.630987605e-05,1.811530683e-05,316.65
194,57633.79175,0.940000001,1.735368042e-05,1.631245959e-05,1.811530683e-05,315.7
195,57624.66381,0.940000001,1.73564376e-05,1.631505134e-05,1.811530683e-05,314.75
196,57615.50978,0.940000001,1.735920356e-05,1.631765135e-05,1.811530683e-05,313.8
